iter	Logloss
0	0.6921856689
1	0.6902039342	2	0.688451693	03	0.686721034	04	0.685324755	05	0.6839940919
6	0.6826160603
7	0.6816846684
8	0.6799782917
9	0.6788492512110	0.676948792
11	0.6755474819
12	0.6744288275
13	0.6722366601
14	0.67050819
15	0.6692998665
16	0.6680516419
17	0.6665686603
18	0.6654382913
19	0.6643655282
20	0.6627925981
21	0.6613419947
22	0.6598312003
23	0.6588461899
24	0.6575072993
25	0.6557542578
26	0.6542130749
27	0.6528717301
28	0.6517022741
29	0.6505989869
30	0.6491334973
31	0.648137607
32	0.6467227093
33	0.6460297053
34	0.6445978394
35	0.6431526578
36	0.6421493088
37	0.6408933893
38	0.6398055813
39	0.6388330559
40	0.6372212251
41	0.636186537
42	0.6338056441
43	0.6327668703
44	0.6312427398
45	0.6301211378
46	0.6286863882
47	0.6274237703
48	0.6257129934
49	0.6247067632
50	0.6237878634
51	0.6226105645
52	0.6203311735
53	0.6187893174
54	0.6180392133
55	0.6167780392
56	0.6154338317
57	0.6143175003
58	0.6133008223
59	0.6119495029
60	0.6104729785
61	0.6092271083
62	0.6083124688
63	0.6067619051
64	0.6051538406
65	0.604748771
66	0.603942723
67	0.6023822334
68	0.6007242766969	0.5990064102
70	0.5982271294
71	0.5974251428
72	0.5964743368
73	0.595328204
74	0.5938520108
75	0.5927772857
76	0.591977566
77	0.5907978222
78	0.5892872769
79	0.5878471949
80	0.5865100484
81	0.5851662433
82	0.584101581
83	0.5829048014884	0.5812594797
85	0.5801699935
86	0.5790625427
87	0.5780643187
88	0.5767617205
89	0.5752513406
90	0.5737865448
91	0.5728118264
92	0.5716765946
93	0.5710404904
94	0.570139408
95	0.5690158308
96	0.5685412581
97	0.5671449645
98	0.5661080817
99	0.5650851691
100	0.5634554502
101	0.5623550676
102	0.5615560134
103	0.5603081897
104	0.5595615494
105	0.558957123
106	0.5579312148
107	0.5570809663
108	0.5555692817
109	0.5542626168
110	0.55346249111111	0.55231545112112	0.55096859113113	0.5500143211114	0.54925740811115	0.54813404811116	0.54749586711117	0.546377504118	0.5428338838
11119	0.54382694412120	0.54295529112121	0.54191187
122	0.5410573558
123	0.5397280078
124	0.5386679439
125	0.5354392125
126	0.5345752885
127	0.5330462553
128	0.5322514391
129	0.53150235213130	0.5301902271131	0.52932679341132	0.52813500081133	0.5271885188134	0.5287574446
135	0.5276987102
136	0.5269314722
137	0.5260710553
138	0.5253362441
1139	0.52071389481140	0.51989088911141	0.51884429491142	0.51773618241143	0.51707734211144	0.51625158971145	0.51538662214146	0.51453496014147	0.51333051114148	0.512476736149	0.5144142416
150	0.5134744516
1151	0.51074880631152	0.50957163281153	0.50870643415154	0.50781635415155	0.50703200115156	0.50601116015157	0.50495540715158	0.50405729915159	0.50365420816160	0.50301097416161	0.502491020162	0.5030186104
16163	0.500553494164	0.5012430931
165	0.5004303451
166	0.5000894567
167	0.4990320463
168	0.4984267382
169	0.4976383118
170	0.496775154
171	0.4960908407
172	0.4953146116
173	0.4940231752
174	0.4930750784
175	0.4923598973
176	0.4915316651
177	0.4911815813
178	0.4904906712
179	0.4897489778
180	0.4890448416
181	0.4877867389
182	0.4872037687
183	0.4863558063
184	0.4855479276
185	0.4849599899
186	0.483820251
187	0.4829449068
188	0.4816207355
189	0.4807886073
190	0.4798619963
191	0.4788821874
192	0.4780716958
193	0.4774121191
194	0.4763862624
195	0.4756213174
196	0.4749103314
197	0.4743266086
198	0.4740805887
199	0.4728460099
200	0.4724773179
201	0.4715776906
202	0.4708152298
203	0.4702428764
204	0.4692391517
205	0.4684134606
206	0.4677653246
207	0.4673309542
208	0.4664723226
209	0.4652034949
210	0.4637769605
211	0.4629090629
212	0.4622284994
213	0.4611570617
214	0.4608110225
215	0.4600154177
216	0.4594978515
217	0.4591209172
218	0.4582752706
219	0.4573951885
220	0.4568713253
221	0.4559539438
222	0.4555194776
223	0.4548926924
224	0.4541037835
225	0.4530004253
226	0.4523794081
227	0.4513944118
228	0.4505126743
229	0.4497897211
230	0.4490106622
231	0.4483581797
232	0.4477756843
233	0.4472146972
234	0.4462859936
235	0.4457724873
236	0.4450090566
237	0.4442405963
238	0.4435767691
239	0.443069549
240	0.4425157085
241	0.4418271564
242	0.4412634334
243	0.4406578561
244	0.4401611552
245	0.4394824731
246	0.4387446452
247	0.4377247195
248	0.4371229002
249	0.4366190308
250	0.4360396109
251	0.4356954969
252	0.4352129176
253	0.4346667251
254	0.4339959914
255	0.4334488624
256	0.4329126336
257	0.4320764113
258	0.4316222763
259	0.4306786849
260	0.4300877665
261	0.4296536767
262	0.4291664447
263	0.4285360205
264	0.4281068177
265	0.4270461628
266	0.4263241479
267	0.4259956189
268	0.4250301911
269	0.4245258259
270	0.4237556257
271	0.423124692
272	0.4222158242
273	0.4216711074
274	0.4208819291
275	0.419832876
276	0.4192870385
277	0.418835615
278	0.4182522025
279	0.4179780748
280	0.4174032188
281	0.4170366384
282	0.4162857317
283	0.4158342732
284	0.4150435971
285	0.4143152111
286	0.4137350863
287	0.4134645403
288	0.4128124971
289	0.4122536647
290	0.4113738431
291	0.4109525824
292	0.4104163932
293	0.4097821227
294	0.4091953612
295	0.4086053194
296	0.4082154729
297	0.4076896898
298	0.4067631336
299	0.4057913947
300	0.4050953771
301	0.4045520795
302	0.4037188397
303	0.4028673565
304	0.4023613
305	0.4019497954
306	0.4014632674
307	0.4010741163
308	0.4004160048
309	0.3999821867
310	0.3993910888
311	0.3987855562
312	0.3980609715
313	0.3973757409
314	0.3969238144
315	0.3963426578
316	0.3955821415
317	0.3948758769
