iter	Passed	Remaining
0	6	6357
1	11	5745
2	16	5451
3	26	6622
4	31	6331
5	41	6860
6	47	6797
7	51	6410
8	54	5992
9	59	5854
10	62	5653
11	91	7539
12	99	7545
13	108	7662
14	112	7378
15	116	7167
16	119	6885
17	126	6879
18	129	6680
19	136	6706
20	141	6594
21	145	6447
22	148	6327
23	152	6188
24	155	6053
25	158	5933
26	163	5878
27	166	5765
28	169	5690
29	175	5659
30	179	5608
31	182	5508
32	185	5442
33	190	5405
34	193	5339
35	195	5238
36	198	5164
37	202	5124
38	207	5102
39	210	5063
40	213	5002
41	216	4939
42	219	4881
43	222	4842
44	226	4796
45	229	4751
46	232	4709
47	235	4670
48	238	4630
49	240	4578
50	242	4517
51	244	4454
52	247	4424
53	250	4396
54	253	4353
55	255	4311
56	258	4276
57	260	4238
58	263	4201
59	266	4168
60	268	4125
61	269	4084662	274	4075
63	276	4046
64	279	4020
65	281	3985
66	283	3953
67	287	3934
68	288	3893669	292	3881
70	294	3851
71	296	3826
72	299	3806
73	302	3782
74	304	3759
75	306	3725
76	309	3711
77	311	3683
78	314	3666
79	316	3645
80	319	3620
81	321	3602
82	323	3578
83	327	3566884	330	3554
85	333	3539
86	335	3518
87	338	3508
88	341	3498
89	343	3471
90	347	3473
91	350	3458
92	353	3448
93	356	3436
94	360	3432
95	362	3415
96	366	3413
97	370	3414
98	373	3396
99	376	3387
100	378	3371
101	381	3354
102	383	3341
103	386	3331
104	389	3319
105	392	3308
106	395	3301
107	398	3290
108	400	3273
109	402	3255
110	404	3240
111	408	3235
112	410	3225
113	413	3211
114	415	3197
115	418	3185
116	420	3171
117	422	3161
118	426	3155
119	429	3147
120	431	3136
121	435	3137
122	438	3125
123	441	3117
124	443	3106
125	451	3129
126	454	3121
127	458	3122
128	460	3110
129	463	3103
130	466	3093
131	468	3082
132	471	3071
133	473	3061
134	471	3021
135	474	3016
136	477	3005
137	480	3000
138	482	2989
139	489	3004
140	492	3003
141	496	2999
142	499	2991
143	502	2984
144	504	2974
145	507	2966
146	510	2960
147	512	2950
148	515	2942
149	512	2901
150	514	2891
151	521	2909
152	524	2902
153	527	2897
154	531	2894
155	533	2888
156	536	2879
157	539	2875
158	541	2865
159	544	2859
160	547	2850
161	549	2840
162	546	2807
163	554	2825
164	552	2793
165	554	2787
166	557	2782
167	561	2780
168	563	2771
169	566	2765
170	569	2759
171	572	2755
172	575	2749
173	577	2742
174	580	2735
175	582	2729
176	586	2727
177	589	2721
178	593	2720
179	595	2713
180	598	2709
181	600	2701
182	603	2694
183	605	2686
184	607	2678
185	611	2675
186	614	2672
187	617	2665
188	619	2659
189	621	2649
190	624	2643
191	627	2640
192	629	2633
193	632	2626
194	635	2623
195	637	2615
196	639	2607
197	641	2598
198	644	2592
199	648	2592
200	651	2588
201	654	2584
202	656	2579
203	661	2579
204	663	2572
205	666	2570
206	669	2563
207	672	2560
208	675	2554
209	677	2547
210	680	2545
211	685	2549
212	688	2542
213	690	2534
214	692	2528
215	695	2524
216	698	2520
217	701	2515
218	703	2509
219	706	2504
220	708	2498
221	712	2495
222	714	2489
223	717	2484
224	719	2478
225	722	2473
226	725	2470
227	728	2465
228	730	2458
229	732	2453
230	736	2450
231	739	2446
232	742	2443
233	745	2439
234	748	2438
235	751	2431
236	753	2426
237	757	2426
238	760	2421
239	763	2417
240	767	2415
241	769	2409
242	772	2406
243	775	2403
244	779	2400
245	781	2396
246	784	2390
247	787	2387
248	789	2382
249	793	2379
250	795	2374
251	797	2368
252	799	2360
253	802	2358
254	805	2354
255	808	2348
256	811	2346
257	814	2343
258	818	2342
259	821	2337
260	824	2333
261	827	2330
262	830	2326
263	832	2320
264	835	2317
265	837	2312
266	840	2307
267	844	2305
268	847	2302
269	849	2298
270	851	2291
271	854	2288
272	857	2283
273	862	2284
274	865	2281
275	868	2277
276	869	2270
277	872	2266
278	875	2263
279	879	2262
280	883	2261
281	886	2257
282	889	2254
283	892	2249
284	894	2244
